organization_name,industry,size,region,energy_use_level,emissions_maturity,certifications,disclosure_level,goals,certifications_str,goals_str,target_stage,target_framework_slug,target_score
Synthetic Org #1,energy,1-50,apac,high,none,[],none,[],,,measure,ghg-protocol,99
Synthetic Org #2,financial,1-50,india,very-high,none,[],none,['sbti'],,sbti,improve,sbti,92
Synthetic Org #3,financial,5000+,global,moderate,advanced,"['iso-14064', 'iso-14001', 'iso-50001']",full,"['sdg', 'net-zero', 'renewables']","iso-14064,iso-14001,iso-50001","sdg,net-zero,renewables",improve,sbti,90
Synthetic Org #4,consumer-goods,250-1000,na,moderate,none,[],partial,[],,,measure,ghg-protocol,95
Synthetic Org #5,consumer-goods,1-50,na,high,advanced,[],partial,"['stakeholder-trust', 'net-zero']",,"stakeholder-trust,net-zero",improve,sbti,94
Synthetic Org #6,consumer-goods,1-50,india,high,advanced,['iso-50001'],full,[],iso-50001,,report,brsr,92
Synthetic Org #7,manufacturing,50-250,latam,high,none,[],none,"['sdg', 'renewables']",,"sdg,renewables",measure,ghg-protocol,95
Synthetic Org #8,technology,50-250,na,high,none,['iso-14001'],full,"['sbti', 'stakeholder-trust', 'net-zero']",iso-14001,"sbti,stakeholder-trust,net-zero",measure,ghg-protocol,97
Synthetic Org #9,agriculture,1000-5000,na,moderate,advanced,[],partial,['net-zero'],,net-zero,improve,sbti,95
Synthetic Org #10,technology,1000-5000,na,low,none,"['iso-45001', 'iso-14001', 'iso-50001']",full,"['renewables', 'sbti']","iso-45001,iso-14001,iso-50001","renewables,sbti",improve,sbti,99
Synthetic Org #11,transport,50-250,eu,high,advanced,['iso-14064'],full,['sbti'],iso-14064,sbti,improve,sbti,94
Synthetic Org #12,chemicals,5000+,uk,low,none,[],none,['renewables'],,renewables,measure,ghg-protocol,99
Synthetic Org #13,healthcare,1-50,uk,very-high,advanced,"['iso-45001', 'iso-14064']",partial,[],"iso-45001,iso-14064",,improve,renewable-energy-plan,78
Synthetic Org #14,energy,5000+,latam,high,advanced,[],partial,['renewables'],,renewables,manage,iso-50001,96
Synthetic Org #15,chemicals,1000-5000,global,high,advanced,"['iso-14001', 'iso-45001']",none,['stakeholder-trust'],"iso-14001,iso-45001",stakeholder-trust,manage,iso-50001,87
Synthetic Org #16,healthcare,50-250,eu,high,none,"['iso-14001', 'iso-45001']",full,['renewables'],"iso-14001,iso-45001",renewables,measure,ghg-protocol,99
Synthetic Org #17,manufacturing,1-50,na,high,none,[],none,"['net-zero', 'stakeholder-trust', 'sdg']",,"net-zero,stakeholder-trust,sdg",measure,ghg-protocol,98
Synthetic Org #18,agriculture,1-50,latam,moderate,none,['iso-50001'],full,['stakeholder-trust'],iso-50001,stakeholder-trust,measure,ghg-protocol,97
Synthetic Org #19,healthcare,1000-5000,eu,moderate,advanced,['iso-45001'],partial,"['stakeholder-trust', 'renewables']",iso-45001,"stakeholder-trust,renewables",report,csrd,95
Synthetic Org #20,energy,50-250,eu,low,basic,"['iso-50001', 'iso-45001']",none,['net-zero'],"iso-50001,iso-45001",net-zero,improve,sbti,96
Synthetic Org #21,energy,1-50,eu,low,none,[],partial,"['sbti', 'sdg', 'renewables']",,"sbti,sdg,renewables",measure,ghg-protocol,99
Synthetic Org #22,agriculture,50-250,india,moderate,advanced,"['iso-14064', 'iso-14001']",full,"['renewables', 'sbti']","iso-14064,iso-14001","renewables,sbti",improve,sbti,92
Synthetic Org #23,energy,1-50,apac,very-high,basic,['iso-14064'],partial,[],iso-14064,,manage,iso-14001,88
Synthetic Org #24,energy,1-50,uk,high,none,[],none,['stakeholder-trust'],,stakeholder-trust,measure,ghg-protocol,97
Synthetic Org #25,agriculture,50-250,uk,moderate,basic,[],partial,[],,,measure,ghg-protocol,94
Synthetic Org #26,agriculture,5000+,global,low,advanced,[],full,[],,,report,issb,82
Synthetic Org #27,construction,50-250,uk,very-high,basic,['iso-14001'],none,['renewables'],iso-14001,renewables,measure,ghg-protocol,88
Synthetic Org #28,manufacturing,1000-5000,na,very-high,basic,"['iso-14064', 'iso-14001', 'iso-45001']",partial,['sbti'],"iso-14064,iso-14001,iso-45001",sbti,improve,sbti,90
Synthetic Org #29,manufacturing,5000+,apac,low,advanced,[],partial,[],,,manage,iso-14001,89
Synthetic Org #30,healthcare,1000-5000,india,moderate,none,[],full,['net-zero'],,net-zero,measure,ghg-protocol,98
Synthetic Org #31,healthcare,1-50,apac,moderate,basic,"['iso-50001', 'iso-45001']",none,"['net-zero', 'stakeholder-trust', 'sbti']","iso-50001,iso-45001","net-zero,stakeholder-trust,sbti",improve,sbti,94
Synthetic Org #32,healthcare,5000+,india,high,basic,"['iso-45001', 'iso-14001', 'iso-50001']",none,"['sbti', 'sdg']","iso-45001,iso-14001,iso-50001","sbti,sdg",improve,sbti,94
Synthetic Org #33,agriculture,250-1000,latam,low,none,"['iso-14001', 'iso-14064']",partial,"['sbti', 'sdg', 'net-zero']","iso-14001,iso-14064","sbti,sdg,net-zero",measure,ghg-protocol,98
Synthetic Org #34,technology,1-50,eu,high,basic,['iso-45001'],none,"['stakeholder-trust', 'net-zero', 'sdg']",iso-45001,"stakeholder-trust,net-zero,sdg",improve,sbti,97
Synthetic Org #35,financial,250-1000,apac,low,none,[],partial,[],,,measure,ghg-protocol,95
Synthetic Org #36,financial,50-250,na,high,advanced,"['iso-45001', 'iso-14001', 'iso-50001']",none,"['renewables', 'sdg', 'net-zero']","iso-45001,iso-14001,iso-50001","renewables,sdg,net-zero",improve,sbti,95
Synthetic Org #37,energy,1000-5000,latam,high,none,['iso-50001'],none,['sbti'],iso-50001,sbti,measure,ghg-protocol,99
Synthetic Org #38,agriculture,5000+,apac,very-high,advanced,[],none,[],,,report,issb,83
Synthetic Org #39,chemicals,5000+,global,high,advanced,[],full,"['sbti', 'net-zero']",,"sbti,net-zero",improve,sbti,92
Synthetic Org #40,transport,250-1000,latam,low,basic,"['iso-50001', 'iso-45001', 'iso-14001']",none,['stakeholder-trust'],"iso-50001,iso-45001,iso-14001",stakeholder-trust,measure,ghg-protocol,88
Synthetic Org #41,consumer-goods,5000+,apac,moderate,none,[],none,"['net-zero', 'sbti']",,"net-zero,sbti",improve,sbti,93
Synthetic Org #42,technology,1000-5000,latam,moderate,basic,"['iso-14001', 'iso-50001', 'iso-14064']",none,"['sbti', 'stakeholder-trust']","iso-14001,iso-50001,iso-14064","sbti,stakeholder-trust",measure,ghg-protocol,88
Synthetic Org #43,agriculture,250-1000,na,moderate,none,"['iso-50001', 'iso-14064', 'iso-45001']",none,['net-zero'],"iso-50001,iso-14064,iso-45001",net-zero,measure,ghg-protocol,94
Synthetic Org #44,transport,250-1000,apac,very-high,advanced,['iso-14001'],full,[],iso-14001,,manage,iso-50001,85
Synthetic Org #45,transport,50-250,india,high,none,"['iso-14064', 'iso-50001']",none,['renewables'],"iso-14064,iso-50001",renewables,measure,ghg-protocol,99
Synthetic Org #46,healthcare,5000+,global,very-high,advanced,['iso-14001'],none,"['net-zero', 'sbti']",iso-14001,"net-zero,sbti",improve,sbti,95
Synthetic Org #47,technology,1000-5000,global,high,advanced,"['iso-14001', 'iso-45001', 'iso-50001']",partial,"['sdg', 'renewables', 'sbti']","iso-14001,iso-45001,iso-50001","sdg,renewables,sbti",improve,sbti,92
Synthetic Org #48,consumer-goods,250-1000,india,moderate,none,"['iso-14064', 'iso-45001', 'iso-14001']",partial,"['stakeholder-trust', 'sdg', 'sbti']","iso-14064,iso-45001,iso-14001","stakeholder-trust,sdg,sbti",measure,ghg-protocol,99
Synthetic Org #49,financial,1-50,na,high,none,"['iso-45001', 'iso-50001']",partial,"['renewables', 'sbti']","iso-45001,iso-50001","renewables,sbti",improve,sbti,95
Synthetic Org #50,financial,1000-5000,latam,moderate,advanced,['iso-45001'],none,[],iso-45001,,report,issb,83
Synthetic Org #51,construction,250-1000,eu,moderate,none,[],none,['renewables'],,renewables,report,csrd,96
Synthetic Org #52,healthcare,1-50,uk,very-high,advanced,[],full,"['renewables', 'stakeholder-trust']",,"renewables,stakeholder-trust",report,gri,85
Synthetic Org #53,construction,50-250,apac,low,none,[],partial,['stakeholder-trust'],,stakeholder-trust,measure,ghg-protocol,97
Synthetic Org #54,agriculture,1-50,india,moderate,none,[],partial,"['stakeholder-trust', 'sdg']",,"stakeholder-trust,sdg",measure,ghg-protocol,94
Synthetic Org #55,agriculture,5000+,latam,very-high,advanced,[],partial,"['renewables', 'sdg']",,"renewables,sdg",report,issb,80
